id,alt,utmx_norm, utmy_norm, longx_norm, longy_norm
707,204.5665,-239.57422006054549,-15.766028917510994,-0.003377970181681178,-0.0001681527024999241
708,204.5472,-239.89802006050013,-14.81992891750997,-0.0033827001816817415,-0.00015968270249544503
709,204.56,-240.18242006050423,-13.861228917492554,-0.0033868801816794303,-0.000151082702501526
710,204.5704,-240.45852006052155,-12.900328917487059,-0.003390940181681401,-0.00014247270249967414
711,204.5349,-240.6960200605099,-11.92892891750671,-0.0033944601816813247,-0.00013376270249665367
712,204.5549,-240.92162006051512,-10.954928917519283,-0.0033978101816813933,-0.00012502270249825642
713,204.5247,-241.11562006053282,-9.973828917485662,-0.003400720181680583,-0.00011622270249489475
714,204.4924,-241.2949200604926,-8.99022891750792,-0.0034034201816801612,-0.00010739270249615629
715,204.517,-241.44872006052174,-8.002228917495813,-0.003405760181681927,-9.852270250121364e-05
716,204.5175,-241.58192006050376,-7.011328917520586,-0.0034078101816810147,-8.962270249668336e-05
717,204.4446,-241.69082006049575,-6.017328917514533,-0.003409520181680392,-8.07027024976037e-05
718,204.4574,-241.77872006053803,-5.0213289175299,-0.0034109301816798165,-7.175270249604182e-05
719,204.4755,-241.84942006052006,-4.023828917532228,-0.0034121001816806995,-6.278270249993056e-05
720,204.4689,-241.8892200605478,-3.0249289175262675,-0.0034128401816815312,-5.380270249588648e-05
721,204.4481,-241.9116200605058,-2.025128917535767,-0.0034133301816794415,-4.4812702498120416e-05
722,204.4394,-241.90522006049287,-1.0253289174870588,-0.0034134101816789553,-3.582270250035435e-05
723,204.4511,-241.88842006050982,-0.025428917491808534,-0.003413340181680269,-2.6822702501760887e-05
724,204.4299,-241.83802006050246,0.9731710824999027,-0.003412810181679049,-1.7832702496889397e-05
725,204.4459,-241.78052006050711,1.9714710824773647,-0.003412170181679386,-8.852702499950738e-06
726,204.3822,-241.68102006049594,2.966471082472708,-0.003410940181680644,1.0729750243854141e-07
727,204.3762,-241.5777200605371,3.96107108250726,-0.0034096501816804903,9.06729750482782e-06
728,204.3785,-241.43772006052313,4.951271082507446,-0.0034078501816807716,1.7987297503907484e-05
729,204.3748,-241.29342006053776,5.940671082469635,-0.0034059801816823665,2.690729750298715e-05
730,204.3706,-241.10982006054837,6.923671082477085,-0.0034035601816810868,3.576729750420782e-05
731,204.37,-240.92112006054958,7.905671082495246,-0.0034010701816811206,4.461729750460108e-05
732,204.3499,-240.70932006050134,8.882971082464792,-0.003398250181682272,5.343729750251214e-05
