alt,utmx,utmy,longx,longy
205.689,435744.1044200605,296125.92472891754,18.09314240518168,50.5286821247025
205.678,435741.24952006055,296126.2314289175,18.09310203818168,50.5286848317025
205.661,435738.3630200605,296126.4581289175,18.09306122418168,50.5286868337025
205.654,435735.48812006053,296126.5978289175,18.09302057418168,50.5286880667025
205.658,435732.5928200605,296126.6628289175,18.09297963618168,50.5286886407025
205.63,435729.6532200605,296126.6569289175,18.09293807218168,50.5286885887025
205.648,435726.7341200605,296126.6008289175,18.09289679718168,50.5286880937025
205.253,435621.92212006054,296125.5649289175,18.091414810181682,50.5286789487025
205.276,435618.98212006054,296125.48962891754,18.09137323018168,50.5286782837025
205.266,435616.0621200605,296125.4716289175,18.09133195018168,50.528678124702495
205.246,435613.15612006054,296125.5145289175,18.091290850181682,50.5286785027025
