elevation,utm_x_norm,utm_y_norm,longx_norm,longy_norm
203.195,-178.394,133.006,-0.0025224,0.00117424
203.197,-176.378,134.661,-0.00249391,0.00118884
203.208,-174.183,136.101,-0.00246287,0.00120156
203.201,-171.904,137.328,-0.00243065,0.0012124
203.173,-169.535,138.272,-0.00239714,0.00122073
203.171,-167.042,138.971,-0.0023619,0.0012269
203.194,-164.517,139.409,-0.0023262,0.00123077
203.198,-161.93,139.564,-0.00228961,0.00123213
203.23,-159.33,139.484,-0.00225285,0.00123143
203.235,-156.759,139.123,-0.0022165,0.00122824
203.251,-154.188,138.51,-0.00218015,0.00122283
203.269,-151.686,137.681,-0.00214477,0.00121551
203.279,-149.21,136.611,-0.00210975,0.00120607
203.31,-146.834,135.367,-0.00207617,0.00119508
203.329,-144.532,133.93,-0.00204361,0.0011824
203.365,-142.297,132.319,-0.00201201,0.00116817
203.368,-140.156,130.576,-0.00198174,0.00115278
203.391,-138.095,128.691,-0.0019526,0.00113614
203.399,-136.112,126.691,-0.00192456,0.00111848
204.293,-67.9666,51.3586,-0.000961015,0.000453417
204.293,-67.9666,51.3586,-0.000961015,0.000453417
204.337,-66.0093,49.2116,-0.00093334,0.000434462
204.35,-64.0329,47.1617,-0.000905394,0.000416365
204.372,-61.9769,45.1903,-0.000876323,0.000398961
204.406,-59.8507,43.3107,-0.000846259,0.000382366
204.417,-57.6735,41.5436,-0.000815475,0.000366766
204.446,-55.3907,39.8737,-0.000783198,0.000352023
204.468,-53.0803,38.3278,-0.00075053,0.000338376
204.503,-50.6902,36.9422,-0.000716735,0.000326143
204.492,-48.2435,35.6988,-0.00068214,0.000315165
204.526,-45.7163,34.6267,-0.000646406,0.0003057
204.527,-43.1628,33.7314,-0.0006103,0.000297796
204.523,-40.5398,33.0318,-0.000573213,0.00029162
204.538,-37.904,32.5241,-0.000535944,0.000287138
204.546,-35.2237,32.235,-0.000498046,0.000284585
204.553,-32.5295,32.1363,-0.000459952,0.000283714
204.563,-29.8488,32.2565,-0.000422047,0.000284775
204.526,-27.1743,32.5752,-0.000384232,0.000287589
204.563,-24.5947,33.1111,-0.000347758,0.00029232
204.557,-22.0556,33.8683,-0.000311856,0.000299005
204.545,-19.6083,34.8608,-0.000277252,0.000307767
204.558,-17.2597,36.0547,-0.000244044,0.000318307
204.548,-15.006,37.4774,-0.000212178,0.000330867
204.542,-12.8504,39.071,-0.000181699,0.000344936
204.539,-10.8148,40.8642,-0.000152916,0.000360768
204.527,-8.90054,42.7734,-0.000125849,0.000377623
204.513,-7.15955,44.8314,-0.000101233,0.000395792
