alt,utmx,utmy,longx,longy
205.746,436036.0468756256,296118.5390847144,18.097270325494613,50.52861679109634
205.764,436037.23112006055,296117.1388289175,18.09728708018168,50.5286045587025
205.764,436037.84512426285,296116.3495261622,18.097295756805657,50.52859745631295
205.776,436038.9691200605,296114.9046289175,18.09731165018168,50.5285848347025
205.776,436039.5416293097,296114.0847306558,18.09731974042827,50.52857745700515
205.786,436040.5541200605,296112.6347289175,18.09733406018168,50.5285647947025
205.786,436041.07787933195,296111.7828625984,18.097341461529105,50.52855712934671
205.808,436042.0061200605,296110.2731289175,18.09735459018168,50.5285439447025
205.808,436042.4846714539,296109.3950693729,18.097361352684516,50.528536043652
205.792,436043.3441200605,296107.8181289175,18.097373500181682,50.5285222717025
205.792,436043.7747311563,296106.915591337,18.09737958522805,50.52851415039108
205.809,436044.5281200605,296105.3365289175,18.097390250181682,50.528500362702495
205.809,436044.89948601526,296104.4080423383,18.097395498021385,50.52849200789399
205.839,436045.56412006053,296102.7463289175,18.09740491018168,50.5284774957025
205.839,436045.886986243,296101.79988429253,18.09740947266009,50.528468979301955
205.847,436046.4531200605,296100.14032891754,18.097417470181682,50.5284544877025
205.847,436046.7180895089,296099.1760721097,18.097421214509403,50.52844581102244
205.854,436047.1841200605,296097.4801289175,18.09742780018168,50.5284310037025
205.854,436047.38025754585,296096.4995525121,18.097430571832007,50.52842218017368
205.871,436047.7141200605,296094.8304289175,18.097435290181682,50.5284076097025
205.871,436047.8472484047,296093.8393301111,18.097437171438777,50.52839869148986
205.917,436048.0811200605,296092.0982289175,18.09744050018168,50.528383488702495
205.917,436048.1466903998,296091.1003809679,18.097441426765748,50.52837450975899
205.95,436048.25912006054,296089.3894289175,18.09744300018168,50.528359573702495
205.95,436048.2576554508,296088.38942999,18.097442979485077,50.52835057540383
205.988,436048.2551200605,296086.6583289175,18.09744295018168,50.5283354627025
205.988,436048.1831317437,296085.66092344216,18.097441932905266,50.528326487740514
206.016,436048.0591200605,296083.9427289175,18.09744017018168,50.5283114887025
206.016,436047.9221655151,296082.9521515846,18.09743823485989,50.528302575182245
206.03,436047.68212006055,296081.2159289175,18.09743485018168,50.5282874157025
206.03,436047.48035830696,296080.2364942873,18.097431999062593,50.52827860244772
206.067,436047.1381200605,296078.5751289175,18.09742715018168,50.5282641007025
206.067,436046.8608024931,296077.6143506045,18.09742323137643,50.52825545532301
206.081,436046.3851200605,296075.96632891754,18.09741650018168,50.528241069702496
206.081,436046.0424570904,296075.02687051566,18.09741165797567,50.52823261616614
206.11,436045.4581200605,296073.4248289175,18.09740340018168,50.5282186317025
206.11,436045.0464663138,296072.51348858984,18.09739758306261,50.52821043118125
206.159,436044.3391200605,296070.9475289175,18.09738759018168,50.528196759702496
206.159,436043.86462144175,296070.0672726703,18.097380884998728,50.528188838885384
206.152,436043.0621200605,296068.5785289175,18.09736952018168,50.5281758437025
206.152,436042.52093134937,296067.73762774677,18.097361872598384,50.5281682770145
206.183,436041.6031200605,296066.3115289175,18.09734889018168,50.528155830702495
206.183,436040.9914304905,296065.52043102856,18.097340246348473,50.52814871215978
206.22,436040.0211200605,296064.2655289175,18.09732652018168,50.528137765702496
206.22,436039.3276973524,296063.5449978995,18.09731672137485,50.52813128214224
206.238,436038.2561200605,296062.4315289175,18.09730157018168,50.528121580702496
206.238,436037.47684180853,296061.8048508454,18.09729055814768,50.52811594165999
206.286,436036.34112006053,296060.89152891753,18.097274490181682,50.5281079807025
206.286,436035.4882065756,296060.3694766335,18.097262437606666,50.528103283115094
206.28,436034.2221200605,296059.5945289175,18.09724453018168,50.5280965277025
206.28,436033.3033443326,296059.19974902715,18.097231546906247,50.52809297535133
206.318,436032.0321200605,296058.6535289175,18.097213560181682,50.5280882227025
206.318,436031.0633808872,296058.40544745093,18.09719987087219,50.52808599038897
206.32,436029.73212006054,296058.0645289175,18.09718104018168,50.528083022702496
206.32,436028.73757893086,296057.96018361865,18.097166986264792,50.528082083771324
206.385,436027.29212006053,296057.8085289175,18.09714655018168,50.5280807627025
206.385,436026.29258915555,296057.8391552126,18.09713242575467,50.52808103828735
206.425,436024.7791200605,296057.8855289175,18.09711101018168,50.5280814427025
206.425,436023.78985632426,296058.0316701512,18.097097030840406,50.52808275772638
206.396,436022.3151200605,296058.2495289175,18.09707617018168,50.528084652702496
206.396,436021.3523316707,296058.51978530764,18.09706256496408,50.52808708455282
206.392,436019.8641200605,296058.9375289175,18.09704151018168,50.528090732702495
206.392,436018.903743791,296059.21623561083,18.09702793904814,50.528093240591254
206.392,436017.94336752145,296059.49494230415,18.0970143679146,50.52809574848001
206.392,436016.9829912519,296059.7736489975,18.09700079678106,50.52809825636877
206.392,436016.0226149824,296060.0523556908,18.09698722564752,50.52810076425753
206.392,436015.06223871285,296060.3310623841,18.09697365451398,50.52810327214629
206.392,436014.1018624433,296060.60976907745,18.09696008338044,50.52810578003505
206.392,436013.1414861738,296060.8884757708,18.0969465122469,50.52810828792381
206.392,436012.18110990425,296061.1671824641,18.096932941113362,50.528110795812566
206.392,436011.2207336347,296061.4458891574,18.096919369979823,50.528113303701325
